gender,age,category,total_price
0,28,0,7502.0
1,21,1,5401.53
1,20,0,300.08
0,66,1,15004.25
0,53,2,242.4
0,28,0,7502.0
0,49,3,40.66
0,32,0,1200.32
1,69,0,2700.7200000000003
0,60,0,1200.32
0,36,4,20.92
0,29,2,15.15
0,67,5,573.44
1,25,0,1200.32
0,67,0,1200.32
1,24,1,15004.25
1,65,2,60.6
0,42,4,47.07
0,46,0,1200.32
1,24,5,573.44
1,23,0,300.08
0,27,4,5.23
1,52,0,1200.32
1,44,6,26250.0
0,42,2,378.75
1,51,5,143.36
0,25,3,1016.5
1,50,1,9602.72
0,65,1,5401.53
1,29,3,365.94
0,66,5,322.56
1,23,0,300.08
0,32,1,5401.53
1,51,0,4801.28
0,66,1,9602.72
1,68,4,5.23
1,43,0,7502.0
0,59,0,1200.32
1,54,0,1200.32
1,24,0,300.08
0,49,4,47.07
1,67,3,162.64
0,48,3,365.94
0,40,1,9602.72
0,41,1,5401.53
1,46,2,378.75
0,19,3,365.94
0,43,0,4801.28
1,18,3,365.94
0,22,2,378.75
0,61,3,1016.5
0,41,2,136.35000000000002
0,53,3,162.64
0,43,6,16800.0
0,45,4,47.07
0,29,0,300.08
1,43,5,143.36
0,19,0,4801.28
0,67,4,47.07
0,36,2,242.4
1,64,0,7502.0
0,33,0,300.08
0,33,0,4801.28
1,66,0,4801.28
0,29,3,650.56
1,22,5,322.56
0,63,4,47.07
0,24,7,293.25
0,24,3,1016.5
0,44,6,26250.0
1,34,1,15004.25
0,47,3,650.56
1,38,4,130.75
0,57,1,15004.25
1,67,5,322.56
1,41,7,105.57
0,40,0,7502.0
0,69,1,9602.72
0,47,4,130.75
0,53,4,83.68
1,40,5,143.36
1,60,3,650.56
1,30,7,46.92
0,66,0,1200.32
1,22,4,5.23
1,53,4,20.92
0,52,0,7502.0
1,26,1,15004.25
1,66,4,5.23
1,65,0,4801.28
0,43,6,4200.0
0,59,5,35.84
0,30,7,293.25
0,25,3,162.64
0,29,5,322.56
0,19,0,1200.32
1,62,0,7502.0
1,39,4,47.07
0,33,0,2700.7200000000003
0,26,4,83.68
1,43,6,9450.0
0,40,4,47.07
1,55,0,4801.28
0,24,0,7502.0
1,24,3,40.66
0,30,4,130.75
1,34,0,7502.0
0,64,0,7502.0
0,57,0,7502.0
1,18,3,650.56
0,26,0,4801.28
0,19,4,47.07
0,22,2,136.35000000000002
1,48,0,300.08
0,56,7,293.25
1,35,0,1200.32
0,60,5,573.44
0,32,0,300.08
1,27,0,4801.28
0,56,0,1200.32
1,35,3,650.56
0,68,0,300.08
0,64,6,4200.0
0,60,5,573.44
1,64,5,896.0
0,41,0,2700.7200000000003
1,30,4,130.75
1,40,0,300.08
0,29,0,1200.32
1,25,0,2700.7200000000003
0,60,0,4801.28
0,42,4,130.75
1,54,4,5.23
0,50,0,7502.0
1,54,0,300.08
0,45,2,242.4
0,40,3,40.66
1,24,2,136.35000000000002
1,40,0,4801.28
0,32,6,4200.0
0,28,0,2700.7200000000003
0,22,5,35.84
0,21,0,300.08
0,31,0,1200.32
0,61,4,47.07
0,67,3,162.64
1,52,1,15004.25
1,44,0,4801.28
0,48,4,20.92
0,53,4,47.07
1,27,5,573.44
0,28,3,650.56
0,43,5,573.44
1,54,7,293.25
1,41,4,130.75
0,59,3,1016.5
0,32,0,300.08
0,41,7,293.25
0,30,6,9450.0
